userName,HourOfDay,MaxSteps,SumSteps,AvgSteps
User10,7,1012,2833,109.0
User10,8,2303,7267,279.5
User10,9,1272,2188,84.2
User10,10,719,2003,80.1
User10,11,1369,4298,171.9
User10,12,2719,7419,296.8
User10,13,1687,4159,166.4
User10,14,1652,3257,130.3
User10,15,774,1166,46.6
User10,16,1707,1915,76.6
User10,17,1002,1224,49.0
User10,18,3629,6121,244.8
User10,19,1103,2952,118.1
User10,20,1131,2844,113.8
User10,21,1500,3445,137.8
User10,22,1200,2759,110.4
User10,23,685,2046,81.8
User11,0,36,156,5.0
User11,1,175,397,12.8
User11,2,285,392,12.6
User11,3,75,151,4.9
User11,4,87,286,9.2
User11,5,22,30,1.0
User11,6,188,749,24.2
User11,7,2175,13345,430.5
User11,8,1225,16742,540.1
User11,9,5890,43221,1394.2
User11,10,4269,44497,1435.4
User11,11,4988,26735,862.4
User11,12,5110,34103,1136.8
User11,13,1702,6551,218.4
User11,14,1209,5240,174.7
User11,15,2012,12761,425.4
User11,16,2124,18355,611.8
User11,17,3353,22938,764.6
User11,18,1696,17523,584.1
User11,19,3673,23739,791.3
User11,20,1602,9430,314.3
User11,21,713,2310,77.0
User11,22,584,2396,79.9
User11,23,671,1574,52.5
User12,0,0,0,0.0
User12,1,0,0,0.0
User12,2,0,0,0.0
User12,3,0,0,0.0
User12,4,0,0,0.0
User12,5,43,50,2.0
User12,6,5742,22429,897.2
User12,7,3855,31250,1250.0
User12,8,6017,73921,2956.8
User12,9,2409,28008,1120.3
User12,10,3163,21514,860.6
User12,11,2669,15703,628.1
User12,12,2674,11774,471.0
User12,13,2023,15113,604.5
User12,14,2050,7534,301.4
User12,15,1349,10536,421.4
User12,16,1780,13656,546.2
User12,17,1857,13584,543.4
User12,18,1051,9493,379.7
User12,19,2151,11960,478.4
User12,20,1133,5683,227.3
User12,21,713,1393,55.7
User12,22,733,795,31.8
User12,23,13,13,0.5
User13,0,784,1505,48.5
User13,1,291,534,17.2
User13,2,11,16,0.5
User13,3,0,0,0.0
User13,4,0,0,0.0
User13,5,0,0,0.0
User13,6,74,255,8.2
User13,7,1298,11075,357.3
User13,8,2824,7475,241.1
User13,9,542,3712,119.7
User13,10,2391,6746,217.6
User13,11,609,4523,145.9
User13,12,3925,15639,504.5
User13,13,5277,66597,2219.9
User13,14,2530,13680,456.0
User13,15,3428,11515,383.8
User13,16,2870,23719,790.6
User13,17,6357,50288,1676.3
User13,18,2810,39631,1321.0
User13,19,1714,10606,353.5
User13,20,1290,7060,235.3
User13,21,1746,6083,202.8
User13,22,629,3446,114.9
User13,23,1464,3398,113.3
User14,0,0,0,0.0
User14,1,0,0,0.0
User14,2,0,0,0.0
User14,3,0,0,0.0
User14,4,0,0,0.0
User14,5,0,0,0.0
User14,6,0,0,0.0
User14,7,429,429,23.8
User14,8,686,1329,73.8
User14,9,971,2753,152.9
User14,10,6715,18480,1026.7
User14,11,7652,28688,1593.8
User14,12,6291,25036,1390.9
User14,13,3676,10047,558.2
User14,14,878,5669,314.9
User14,15,2308,4354,241.9
User14,16,2167,6270,348.3
User14,17,1005,5243,291.3
User14,18,679,2899,161.1
User14,19,515,2071,115.1
User14,20,469,2152,119.6
User14,21,362,2198,122.1
User14,22,532,2700,150.0
User14,23,661,2520,148.2
User15,0,1361,2821,94.0
User15,1,148,215,7.2
User15,2,0,0,0.0
User15,3,0,0,0.0
User15,4,0,0,0.0
User15,5,0,0,0.0
User15,6,0,0,0.0
User15,7,149,149,5.0
User15,8,3955,4579,152.6
User15,9,995,3468,115.6
User15,10,2575,10746,358.2
User15,11,1914,12387,412.9
User15,12,2631,21515,717.2
User15,13,2457,25016,833.9
User15,14,2751,22077,735.9
User15,15,6554,29616,987.2
User15,16,1632,11178,372.6
User15,17,1241,7172,239.1
User15,18,776,4955,165.2
User15,19,987,7749,258.3
User15,20,745,4675,155.8
User15,21,383,2637,87.9
User15,22,860,2823,97.3
User15,23,288,2422,83.5
User16,0,670,3196,114.1
User16,1,329,1792,64.0
User16,2,211,618,22.1
User16,3,29,46,1.6
User16,4,8,15,0.5
User16,5,5,5,0.2
User16,6,8,21,0.8
User16,7,62,114,4.1
User16,8,32,126,4.5
User16,9,518,1994,71.2
User16,10,763,2579,92.1
User16,11,794,4545,162.3
User16,12,572,2034,72.6
User16,13,769,2158,77.1
User16,14,1332,3286,117.4
User16,15,951,4300,153.6
User16,16,1009,4331,154.7
User16,17,1125,4998,178.5
User16,18,781,5491,196.1
User16,19,789,4584,163.7
User16,20,1055,4256,152.0
User16,21,387,1537,54.9
User16,22,151,745,26.6
User16,23,204,979,35.0
User17,0,1193,2208,71.2
User17,1,555,826,26.6
User17,2,773,773,24.9
User17,3,52,52,1.7
User17,4,0,0,0.0
User17,5,0,0,0.0
User17,6,113,113,3.6
User17,7,74,122,3.9
User17,8,638,1473,47.5
User17,9,817,2607,84.1
User17,10,836,6541,211.0
User17,11,845,7894,263.1
User17,12,814,5532,184.4
User17,13,1150,4584,152.8
User17,14,787,5880,196.0
User17,15,815,5320,177.3
User17,16,1450,5310,177.0
User17,17,850,4877,162.6
User17,18,608,3213,107.1
User17,19,1290,5273,175.8
User17,20,2043,5727,190.9
User17,21,1001,4186,139.5
User17,22,1104,4754,158.5
User17,23,585,2677,89.2
User18,0,11,20,0.6
User18,1,16,23,0.7
User18,2,17,17,0.5
User18,3,22,22,0.7
User18,4,94,110,3.5
User18,5,0,0,0.0
User18,6,20,28,0.9
User18,7,0,0,0.0
User18,8,1245,2676,86.3
User18,9,403,752,24.3
User18,10,1061,3572,115.2
User18,11,2109,4431,142.9
User18,12,423,1312,42.3
User18,13,1783,3148,101.5
User18,14,232,916,29.5
User18,15,959,1490,48.1
User18,16,977,2127,70.9
User18,17,388,1759,58.6
User18,18,516,1843,61.4
User18,19,1215,2710,90.3
User18,20,187,598,19.9
User18,21,123,542,18.1
User18,22,74,208,6.9
User18,23,45,96,3.2
User19,0,50,150,4.8
User19,1,52,105,3.4
User19,2,8,19,0.6
User19,3,43,70,2.3
User19,4,23,42,1.4
User19,5,651,1283,41.4
User19,6,669,10178,328.3
User19,7,717,9035,291.5
User19,8,957,8231,265.5
User19,9,1338,8199,264.5
User19,10,1261,9994,322.4
User19,11,2315,11322,365.2
User19,12,1236,10787,348.0
User19,13,1494,13910,448.7
User19,14,1742,12564,405.3
User19,15,1153,15293,493.3
User19,16,2375,14247,474.9
User19,17,1848,12778,425.9
User19,18,1038,11215,373.8
User19,19,799,8053,268.4
User19,20,860,9293,309.8
User19,21,611,4139,138.0
User19,22,219,809,27.0
User19,23,34,352,11.7
User20,0,506,2805,90.5
User20,1,429,2935,94.7
User20,2,374,2180,70.3
User20,3,564,1854,59.8
User20,4,582,1371,44.2
User20,5,453,1750,56.5
User20,6,575,4009,129.3
User20,7,1053,9339,301.3
User20,8,829,5587,180.2
User20,9,954,5987,193.1
User20,10,843,6258,201.9
User20,11,1122,6734,217.2
User20,12,1140,8720,281.3
User20,13,852,5700,183.9
User20,14,1372,6592,212.6
User20,15,2208,10145,338.2
User20,16,784,8430,281.0
User20,17,1013,8934,297.8
User20,18,749,6317,210.6
User20,19,720,6777,225.9
User20,20,1940,9983,332.8
User20,21,1054,9549,318.3
User20,22,1364,8616,287.2
User20,23,1154,5463,182.1
User21,0,276,276,8.9
User21,1,0,0,0.0
User21,2,0,0,0.0
User21,3,0,0,0.0
User21,4,0,0,0.0
User21,5,402,4156,134.1
User21,6,3108,6440,207.7
User21,7,2768,30266,976.3
User21,8,4534,32917,1061.8
User21,9,1252,20203,651.7
User21,10,1758,21535,694.7
User21,11,1736,12957,418.0
User21,12,3995,24113,777.8
User21,13,1440,17602,567.8
User21,14,1010,9249,298.4
User21,15,1196,9747,314.4
User21,16,694,9442,314.7
User21,17,2181,10190,339.7
User21,18,878,8999,300.0
User21,19,2466,6747,224.9
User21,20,1496,4662,155.4
User21,21,406,3098,103.3
User21,22,426,1301,43.4
User21,23,81,230,7.7
User22,0,37,81,4.0
User22,1,0,0,0.0
User22,2,19,19,1.0
User22,3,53,53,2.7
User22,4,0,0,0.0
User22,5,237,877,43.9
User22,6,196,1476,73.8
User22,7,846,4813,240.6
User22,8,1105,10134,506.7
User22,9,2941,11404,570.2
User22,10,3084,16380,819.0
User22,11,2727,15028,751.4
User22,12,1449,7246,362.3
User22,13,675,6008,300.4
User22,14,1549,12094,604.7
User22,15,2478,11131,556.5
User22,16,770,7315,385.0
User22,17,1118,6934,364.9
User22,18,1048,7852,413.3
User22,19,1372,9048,476.2
User22,20,668,6287,330.9
User22,21,401,1668,87.8
User22,22,224,878,46.2
User22,23,223,331,17.4
User23,0,79,190,6.1
User23,1,347,352,11.4
User23,2,184,364,11.7
User23,3,0,0,0.0
User23,4,81,137,4.4
User23,5,17,31,1.0
User23,6,52,64,2.1
User23,7,1838,2656,85.7
User23,8,577,2083,67.2
User23,9,1001,3227,104.1
User23,10,833,2575,83.1
User23,11,886,3336,107.6
User23,12,1002,3371,112.4
User23,13,603,2270,75.7
User23,14,694,3452,115.1
User23,15,959,4947,164.9
User23,16,2737,8747,291.6
User23,17,845,5172,172.4
User23,18,1953,5409,180.3
User23,19,716,3910,130.3
User23,20,980,4943,164.8
User23,21,1197,3675,122.5
User23,22,2192,5425,180.8
User23,23,1054,2063,68.8
User24,0,7,7,1.8
User24,1,0,0,0.0
User24,2,0,0,0.0
User24,3,156,156,39.0
User24,4,0,0,0.0
User24,5,0,0,0.0
User24,6,24,24,6.0
User24,7,896,1813,453.3
User24,8,1115,2295,573.8
User24,9,977,1790,447.5
User24,10,217,325,81.3
User24,11,761,1833,458.3
User24,12,172,438,109.5
User24,13,622,1657,414.3
User24,14,306,730,182.5
User24,15,232,399,99.8
User24,16,661,1284,428.0
User24,17,172,326,108.7
User24,18,632,1213,404.3
User24,19,501,676,225.3
User24,20,180,305,101.7
User24,21,11,11,3.7
User24,22,23,23,7.7
User24,23,0,0,0.0
User25,0,312,1781,57.5
User25,1,232,1941,62.6
User25,2,206,894,28.8
User25,3,44,175,5.6
User25,4,95,265,8.5
User25,5,76,226,7.3
User25,6,62,239,7.7
User25,7,86,549,17.7
User25,8,447,1757,56.7
User25,9,693,1915,61.8
User25,10,3403,5572,179.7
User25,11,839,5534,178.5
User25,12,815,7580,244.5
User25,13,4379,13686,441.5
User25,14,939,8264,266.6
User25,15,1298,9563,318.8
User25,16,842,9984,332.8
User25,17,765,9602,320.1
User25,18,3955,23898,796.6
User25,19,3567,14542,484.7
User25,20,839,7752,258.4
User25,21,678,7485,249.5
User25,22,757,8212,273.7
User25,23,732,7132,237.7
User26,0,489,1044,33.7
User26,1,105,487,15.7
User26,2,11,24,0.8
User26,3,0,0,0.0
User26,4,0,0,0.0
User26,5,0,0,0.0
User26,6,480,934,30.1
User26,7,840,1890,61.0
User26,8,1190,5336,172.1
User26,9,1240,11734,378.5
User26,10,1954,14188,457.7
User26,11,2975,17535,565.6
User26,12,2483,14170,457.1
User26,13,3432,17890,577.1
User26,14,3580,21579,696.1
User26,15,2190,16780,541.3
User26,16,4281,26462,882.1
User26,17,2600,17941,598.0
User26,18,4688,24480,816.0
User26,19,3420,18359,612.0
User26,20,838,10327,344.2
User26,21,990,8752,291.7
User26,22,631,5525,184.2
User26,23,483,2472,82.4
User27,0,258,950,30.6
User27,1,305,378,12.2
User27,2,133,503,16.2
User27,3,61,234,7.5
User27,4,86,280,9.0
User27,5,201,830,26.8
User27,6,1528,12625,407.3
User27,7,2830,34460,1111.6
User27,8,2054,12163,392.4
User27,9,376,2892,93.3
User27,10,2718,7659,255.3
User27,11,2690,10422,347.4
User27,12,3160,17898,596.6
User27,13,2451,11411,380.4
User27,14,3729,12643,421.4
User27,15,2538,8400,280.0
User27,16,3256,26217,873.9
User27,17,5808,38743,1291.4
User27,18,3026,20673,689.1
User27,19,1502,15775,525.8
User27,20,1362,10309,343.6
User27,21,1519,11267,375.6
User27,22,986,6696,223.2
User27,23,636,3478,115.9
User28,0,447,1483,53.0
User28,1,671,933,33.3
User28,2,378,599,21.4
User28,3,332,578,20.6
User28,4,801,836,29.9
User28,5,870,881,31.5
User28,6,778,844,30.1
User28,7,854,3249,116.0
User28,8,1274,7108,253.9
User28,9,1023,9775,349.1
User28,10,1798,12709,453.9
User28,11,1252,11713,418.3
User28,12,2175,13993,518.3
User28,13,1772,16256,602.1
User28,14,1134,12444,460.9
User28,15,1850,15586,577.3
User28,16,2448,15526,575.0
User28,17,1313,14494,536.8
User28,18,1569,13236,490.2
User28,19,1277,11331,419.7
User28,20,1523,9946,368.4
User28,21,723,4479,165.9
User28,22,893,4479,165.9
User28,23,553,3195,118.3
User29,0,0,0,0.0
User29,1,0,0,0.0
User29,2,0,0,0.0
User29,3,0,0,0.0
User29,4,0,0,0.0
User29,5,72,93,3.3
User29,6,393,3150,112.5
User29,7,1200,12310,439.6
User29,8,1935,11077,395.6
User29,9,3258,17593,628.3
User29,10,3251,17548,626.7
User29,11,1937,15476,552.7
User29,12,1558,14453,516.2
User29,13,2033,16473,588.3
User29,14,1608,14726,525.9
User29,15,1259,13031,465.4
User29,16,1259,10637,379.9
User29,17,916,6363,235.7
User29,18,936,3969,147.0
User29,19,859,2340,86.7
User29,20,363,1187,44.0
User29,21,740,1424,52.7
User29,22,629,1189,44.0
User29,23,634,639,23.7
User30,0,316,1609,51.9
User30,1,309,2070,66.8
User30,2,283,2272,73.3
User30,3,212,331,10.7
User30,4,290,656,21.2
User30,5,0,0,0.0
User30,6,124,124,4.0
User30,7,202,202,6.5
User30,8,0,0,0.0
User30,9,0,0,0.0
User30,10,602,1830,59.0
User30,11,957,5907,190.5
User30,12,1042,9535,307.6
User30,13,4316,42637,1375.4
User30,14,5689,79929,2578.4
User30,15,3851,17858,595.3
User30,16,4746,18410,613.7
User30,17,4496,28116,937.2
User30,18,4340,41221,1374.0
User30,19,7643,104007,3466.9
User30,20,4147,13653,455.1
User30,21,7617,38455,1281.8
User30,22,4407,43576,1452.5
User30,23,1454,5065,168.8
User31,0,75,334,10.8
User31,1,65,554,17.9
User31,2,89,294,9.5
User31,3,75,169,5.5
User31,4,361,4760,153.5
User31,5,73,278,9.0
User31,6,322,5073,163.6
User31,7,735,12161,392.3
User31,8,4242,47402,1529.1
User31,9,2226,16252,524.3
User31,10,1180,14857,479.3
User31,11,2816,20144,649.8
User31,12,4741,38283,1234.9
User31,13,1112,12990,419.0
User31,14,3376,16550,533.9
User31,15,5112,19192,639.7
User31,16,3244,16549,551.6
User31,17,5661,14722,490.7
User31,18,919,8317,277.2
User31,19,659,5919,197.3
User31,20,975,8227,274.2
User31,21,504,4040,134.7
User31,22,857,1764,58.8
User31,23,185,874,29.1
User32,0,2128,2728,88.0
User32,1,1887,1887,60.9
User32,2,1983,1983,64.0
User32,3,84,84,2.7
User32,4,0,0,0.0
User32,5,0,0,0.0
User32,6,582,3534,114.0
User32,7,1986,20202,651.7
User32,8,1340,20870,673.2
User32,9,2525,21009,677.7
User32,10,4870,24078,776.7
User32,11,2546,26944,869.2
User32,12,8043,65430,2110.6
User32,13,6745,22825,736.3
User32,14,10554,29845,962.7
User32,15,5123,27856,928.5
User32,16,9392,50524,1684.1
User32,17,9062,54230,1807.7
User32,18,8586,56449,1881.6
User32,19,3579,22650,755.0
User32,20,1236,14405,480.2
User32,21,2298,15022,500.7
User32,22,1246,8736,291.2
User32,23,3028,4332,144.4
User33,0,459,4280,142.7
User33,1,178,1503,50.1
User33,2,151,870,29.0
User33,3,145,355,11.8
User33,4,44,108,3.6
User33,5,26,63,2.1
User33,6,408,465,15.5
User33,7,316,1176,39.2
User33,8,1656,5641,188.0
User33,9,2041,32560,1085.3
User33,10,1295,13536,451.2
User33,11,2352,14249,475.0
User33,12,2116,16598,553.3
User33,13,3616,20880,696.0
User33,14,2284,21603,720.1
User33,15,2063,13703,456.8
User33,16,3388,17373,579.1
User33,17,2613,20923,697.4
User33,18,4472,46683,1556.1
User33,19,5786,29151,971.7
User33,20,3903,32678,1089.3
User33,21,5934,38686,1334.0
User33,22,3696,19800,682.8
User33,23,2768,21662,747.0
